| Nesquik                       | adfghilpqrst | 14:51:38       | 14:54:46         | 00:03:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 20:52:26       | 21:31:45         | 00:39:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 21:26:18       | 21:32:00         | 00:05:59             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 20:08:19       | 21:36:17         | 01:28:01             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 21:36:29       | 21:43:27         | 00:07:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 23:32:08       | 23:33:56         | 00:01:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 16.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 08:07:34       | 08:08:42         | 00:01:15             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| kwazzi                       | abdfghiklpqrst | 09:45:40       | 09:51:05         | 00:05:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 09:42:13       | 09:51:05         | 00:09:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 09:51:12       | 09:56:29         | 00:05:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| kwazzi                       | abdfghiklpqrst | 09:51:13       | 09:57:05         | 00:05:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Frenk                       | adgijklpqrst | 11:05:18       | 11:05:41         | 00:00:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstv | 12:44:02       | 12:46:41         | 00:02:59             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 16:22:45       | 16:38:10         | 00:15:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 18:56:51       | 19:06:37         | 00:09:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 17.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 10:03:34       | 10:15:07         | 00:11:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstv | 15:21:08       | 15:40:22         | 00:19:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 17:38:25       | 18:00:54         | 00:22:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 19:33:13       | 19:35:29         | 00:02:23             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 19:35:35       | 19:38:29         | 00:02:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 21:59:54       | 22:09:05         | 00:09:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 18.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 01:07:47         | 00:02:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 14:22:09       | 14:24:55         | 00:02:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqst | 15:45:53       | 15:55:36         | 00:09:50             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 16:09:47       | 16:10:15         | 00:00:34             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 16:36:21       | 16:38:37         | 00:02:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 21:15:52       | 21:21:02         | 00:05:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 21:49:59       | 22:21:01         | 00:31:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 22:20:09       | 22:27:49         | 00:07:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstv | 15:07:02       | 15:07:47         | 00:00:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 15:54:07       | 15:54:53         | 00:00:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 15:54:55       | 16:03:07         | 00:08:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 15:42:29       | 16:10:30         | 00:28:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstv | 15:55:42       | 16:11:22         | 00:15:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstv | 17:23:38       | 17:37:04         | 00:13:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 19:16:09       | 19:16:48         | 00:00:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 20.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 15:42:26       | 15:48:38         | 00:06:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| An1me4ka._.                       | dimqrst | 20:51:31       | 20:52:12         | 00:00:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 21.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 02:08:01       | 02:11:02         | 00:03:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 15:48:22       | 15:48:23         | 00:00:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Derlenad                       | dist | 16:54:19       | 16:57:11         | 00:02:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Derlenad                       | dist | 16:58:06       | 16:59:11         | 00:01:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Derlenad                       | dist | 17:00:54       | 17:06:49         | 00:05:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 17:13:36       | 17:15:21         | 00:01:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 17:16:17         | 00:02:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 17:16:19       | 17:31:25         | 00:15:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Derlenad                       | dist | 17:15:46       | 17:34:02         | 00:18:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 17:36:24       | 17:57:10         | 00:20:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 17:57:17       | 18:04:21         | 00:07:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 18:04:31       | 18:09:07         | 00:04:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 18:09:14       | 18:09:38         | 00:00:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 18:09:49       | 18:13:49         | 00:04:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| minibam                       | abcdefghjklopqrstu | 20:35:14       | 20:50:19         | 00:15:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 21:24:40       | 21:40:22         | 00:15:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 22.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 22.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 08:47:20       | 09:47:38         | 01:00:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 10:37:30       | 10:47:27         | 00:10:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 11:26:19       | 11:41:51         | 00:15:51             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 11:56:08       | 11:57:54         | 00:01:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 13:21:35       | 13:24:23         | 00:02:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 15:06:27       | 15:29:27         | 00:23:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 15:03:45       | 15:32:32         | 00:29:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 15:45:52       | 16:16:17         | 00:30:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 16:16:24       | 16:19:57         | 00:03:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 16:35:40       | 16:37:53         | 00:02:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
|                        |  |        | 18:07:25         | 00:05:38             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 18:07:30       | 18:15:18         | 00:07:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 18:15:24       | 18:36:25         | 00:21:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 18:40:57       | 18:58:11         | 00:17:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 19:07:06       | 19:35:58         | 00:28:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 19:37:11       | 19:38:48         | 00:01:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqst | 19:31:20       | 19:45:46         | 00:14:37             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 20:33:43       | 20:34:13         | 00:00:31             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 22:56:38       | 23:04:02         | 00:07:50             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 23:09:58       | 23:14:07         | 00:04:12             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 23:11:36       | 23:14:29         | 00:02:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 23.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 09:42:00       | 09:46:05         | 00:04:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 09:46:12       | 09:47:16         | 00:01:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 11:04:30       | 11:35:52         | 00:31:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 11:36:01       | 11:43:04         | 00:07:07             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 11:45:05       | 11:56:48         | 00:11:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 11:58:15       | 12:02:33         | 00:04:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 14:01:17       | 14:32:22         | 00:31:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 13:40:10       | 14:39:27         | 00:59:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 15:10:57       | 15:12:54         | 00:02:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 15:25:43       | 15:27:26         | 00:02:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 15:35:07       | 15:40:00         | 00:04:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 16:53:22       | 17:33:25         | 00:40:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 18:21:53       | 18:28:13         | 00:06:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 20:04:12       | 20:09:57         | 00:06:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 24.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 10:20:32       | 10:22:31         | 00:02:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 10:26:00       | 10:27:20         | 00:01:22             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 13:49:41       | 13:50:33         | 00:01:20             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 13:51:24       | 13:52:13         | 00:01:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 13:52:49       | 14:34:53         | 00:42:36             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 14:36:10       | 14:36:28         | 00:00:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 14:43:13       | 14:44:13         | 00:01:29             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 15:47:22       | 16:01:32         | 00:14:23             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 14:44:55       | 16:22:34         | 01:38:15             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 17:18:05       | 17:18:25         | 00:01:13             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 17:26:08       | 17:48:08         | 00:23:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 17:49:16       | 17:49:21         | 00:00:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 17:55:29       | 18:12:24         | 00:17:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 18:13:30       | 18:13:43         | 00:01:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 18:19:41       | 18:20:29         | 00:01:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 19:32:49       | 19:33:25         | 00:00:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 18:21:04       | 19:42:31         | 01:21:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 19:44:12       | 19:44:29         | 00:00:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 19:49:48       | 19:52:51         | 00:03:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrst | 20:14:54       | 20:23:06         | 00:08:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 19:51:06       | 20:26:27         | 00:35:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrst | 20:23:23       | 20:29:54         | 00:06:39             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 25.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 08:23:08       | 09:20:49         | 00:58:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 09:38:41       | 09:48:29         | 00:10:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 09:36:14       | 10:31:48         | 00:55:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 10:32:42       | 10:32:52         | 00:00:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 10:38:41       | 11:14:56         | 00:36:40             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 11:16:00       | 11:16:10         | 00:00:34             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 11:24:15       | 11:48:48         | 00:25:02             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 11:49:41       | 11:49:52         | 00:00:55             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 11:40:50       | 11:56:42         | 00:16:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 13:22:26       | 13:24:34         | 00:02:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 13:08:59       | 13:25:53         | 00:17:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 12:20:04       | 14:20:07         | 02:02:45             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 14:20:24       | 15:07:24         | 00:47:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 15:28:26       | 15:28:31         | 00:00:08             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqst | 15:43:45       | 15:47:09         | 00:03:32             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqst | 15:47:28       | 15:48:00         | 00:00:35             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 15:07:37       | 15:56:26         | 00:48:57             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 15:56:41       | 17:38:59         | 01:42:27             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 26.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 03:38:01       | 03:41:15         | 00:03:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 08:11:48       | 08:55:53         | 00:44:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 08:57:29       | 08:57:47         | 00:01:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 09:03:36       | 09:57:19         | 00:54:10             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 10:15:33       | 11:29:26         | 01:14:04             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 12:07:07       | 12:41:41         | 00:34:46             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 12:44:17       | 12:44:17         | 00:01:00             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 12:45:44       | 12:45:59         | 00:01:08             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 12:52:51       | 12:53:04         | 00:01:14             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqst | 14:37:17       | 14:37:28         | 00:00:21             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqst | 15:22:05       | 15:35:55         | 00:13:54             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 15:41:29       | 16:12:42         | 00:31:48             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqrst | 17:17:26       | 17:17:46         | 00:01:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 18:54:14       | 18:54:14         | 00:00:52             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 18:54:59       | 19:07:00         | 00:12:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 27.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
==================================================================================================================
                                                 [ 27.05.2021 ]
==================================================================================================================

|             Ник             |          флаги        |  Время захода  |   Время выхода   |   Общее время игры   |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 07:54:45       | 08:05:06         | 00:10:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 08:36:56       | 08:40:53         | 00:04:06             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 08:41:11       | 08:41:58         | 00:00:56             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 09:28:30       | 10:16:40         | 00:48:17             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 09:28:30       | 10:30:51         | 00:00:47             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 10:30:58       | 10:56:01         | 00:25:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 11:38:39       | 11:50:31         | 00:12:03             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Alina                       | dist | 11:50:38       | 12:09:46         | 00:19:11             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqst | 13:45:47       | 13:46:10         | 00:01:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqst | 13:53:13       | 13:54:12         | 00:01:58             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqst | 13:54:50       | 13:55:32         | 00:01:16             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqst | 13:56:16       | 14:00:26         | 00:04:49             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 13:59:10       | 14:13:21         | 00:14:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 14:04:55       | 14:13:21         | 00:08:42             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Mr.Jops                       | adgiklprst | 14:13:28       | 14:15:10         | 00:01:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 14:13:34       | 14:38:44         | 00:25:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 14:38:59       | 14:47:23         | 00:08:33             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 15:07:12       | 15:09:37         | 00:02:26             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ^Monik^                       | diqst | 17:01:22       | 17:18:57         | 00:17:43             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Saifer                       | diqst | 18:12:38       | 18:16:41         | 00:04:18             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| qx.ool                       | adgiklprst | 17:58:47       | 18:20:11         | 00:21:25             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 18:29:07       | 18:31:22         | 00:02:37             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 18:31:34       | 18:33:17         | 00:01:51             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 18:34:18       | 18:34:18         | 00:00:09             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 19:52:08       | 19:53:07         | 00:01:19             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 19:53:24       | 20:07:36         | 00:14:24             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| Х0                       | adfghilpqrstw | 20:07:51       | 20:26:34         | 00:18:53             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
| ARTEMKA 555                       | adfghilpqst | 20:34:36       | 20:40:14         | 00:06:41             |
|-----------------------------|-----------------------|----------------|------------------|----------------------|
